character,codepoint,unicode_name,unicode_category,count,is_sinhala_block,is_whitespace
 ,U+0020,SPACE,Zs,3449150,False,True
්,U+0DCA,SINHALA SIGN AL-LAKUNA,Mn,1652161,True,False
ි,U+0DD2,SINHALA VOWEL SIGN KETTI IS-PILLA,Mn,1341191,True,False
න,U+0DB1,SINHALA LETTER DANTAJA NAYANNA,Lo,1313116,True,False
ව,U+0DC0,SINHALA LETTER VAYANNA,Lo,1058458,True,False
ක,U+0D9A,SINHALA LETTER ALPAPRAANA KAYANNA,Lo,962328,True,False
ය,U+0DBA,SINHALA LETTER YAYANNA,Lo,921379,True,False
ා,U+0DCF,SINHALA VOWEL SIGN AELA-PILLA,Mc,911882,True,False
ම,U+0DB8,SINHALA LETTER MAYANNA,Lo,888464,True,False
ර,U+0DBB,SINHALA LETTER RAYANNA,Lo,853742,True,False
ත,U+0DAD,SINHALA LETTER ALPAPRAANA TAYANNA,Lo,848527,True,False
ු,U+0DD4,SINHALA VOWEL SIGN KETTI PAA-PILLA,Mn,671282,True,False
ස,U+0DC3,SINHALA LETTER DANTAJA SAYANNA,Lo,663862,True,False
ද,U+0DAF,SINHALA LETTER ALPAPRAANA DAYANNA,Lo,527095,True,False
ප,U+0DB4,SINHALA LETTER ALPAPRAANA PAYANNA,Lo,501664,True,False
ල,U+0DBD,SINHALA LETTER DANTAJA LAYANNA,Lo,492235,True,False
හ,U+0DC4,SINHALA LETTER HAYANNA,Lo,416110,True,False
ෙ,U+0DD9,SINHALA VOWEL SIGN KOMBUVA,Mc,415301,True,False
ේ,U+0DDA,SINHALA VOWEL SIGN DIGA KOMBUVA,Mc,414482,True,False
ට,U+0DA7,SINHALA LETTER ALPAPRAANA TTAYANNA,Lo,399693,True,False
ග,U+0D9C,SINHALA LETTER ALPAPRAANA GAYANNA,Lo,344182,True,False
ැ,U+0DD0,SINHALA VOWEL SIGN KETTI AEDA-PILLA,Mc,323022,True,False
ී,U+0DD3,SINHALA VOWEL SIGN DIGA IS-PILLA,Mn,283726,True,False
බ,U+0DB6,SINHALA LETTER ALPAPRAANA BAYANNA,Lo,246469,True,False
අ,U+0D85,SINHALA LETTER AYANNA,Lo,233643,True,False
.,U+002E,FULL STOP,Po,220845,False,False
‍,U+200D,ZERO WIDTH JOINER,Cf,215623,False,False
ො,U+0DDC,SINHALA VOWEL SIGN KOMBUVA HAA AELA-PILLA,Mc,165560,True,False
ණ,U+0DAB,SINHALA LETTER MUURDHAJA NAYANNA,Lo,141219,True,False
ළ,U+0DC5,SINHALA LETTER MUURDHAJA LAYANNA,Lo,112644,True,False
එ,U+0D91,SINHALA LETTER EYANNA,Lo,112172,True,False
ඩ,U+0DA9,SINHALA LETTER ALPAPRAANA DDAYANNA,Lo,109668,True,False
ජ,U+0DA2,SINHALA LETTER ALPAPRAANA JAYANNA,Lo,102984,True,False
ශ,U+0DC1,SINHALA LETTER TAALUJA SAYANNA,Lo,99667,True,False
ධ,U+0DB0,SINHALA LETTER MAHAAPRAANA DAYANNA,Lo,97609,True,False
ෝ,U+0DDD,SINHALA VOWEL SIGN KOMBUVA HAA DIGA AELA-PILLA,Mc,92944,True,False
",",U+002C,COMMA,Po,91627,False,False
ං,U+0D82,SINHALA SIGN ANUSVARAYA,Mc,82189,True,False
ඇ,U+0D87,SINHALA LETTER AEYANNA,Lo,79899,True,False
ෂ,U+0DC2,SINHALA LETTER MUURDHAJA SAYANNA,Lo,67662,True,False
ඉ,U+0D89,SINHALA LETTER IYANNA,Lo,60235,True,False
ඳ,U+0DB3,SINHALA LETTER SANYAKA DAYANNA,Lo,58529,True,False
ූ,U+0DD6,SINHALA VOWEL SIGN DIGA PAA-PILLA,Mn,57304,True,False
ආ,U+0D86,SINHALA LETTER AAYANNA,Lo,53971,True,False
ඔ,U+0D94,SINHALA LETTER OYANNA,Lo,52354,True,False
ච,U+0DA0,SINHALA LETTER ALPAPRAANA CAYANNA,Lo,45305,True,False
ඒ,U+0D92,SINHALA LETTER EEYANNA,Lo,39118,True,False
භ,U+0DB7,SINHALA LETTER MAHAAPRAANA BAYANNA,Lo,38102,True,False
උ,U+0D8B,SINHALA LETTER UYANNA,Lo,37590,True,False
0,U+0030,DIGIT ZERO,Nd,32207,False,False
ථ,U+0DAE,SINHALA LETTER MAHAAPRAANA TAYANNA,Lo,29717,True,False
1,U+0031,DIGIT ONE,Nd,26216,False,False
ෑ,U+0DD1,SINHALA VOWEL SIGN DIGA AEDA-PILLA,Mc,25887,True,False
2,U+0032,DIGIT TWO,Nd,22615,False,False
e,U+0065,LATIN SMALL LETTER E,Ll,20675,False,False
ඟ,U+0D9F,SINHALA LETTER SANYAKA GAYANNA,Lo,17726,True,False
a,U+0061,LATIN SMALL LETTER A,Ll,17265,False,False
),U+0029,RIGHT PARENTHESIS,Pe,15216,False,False
i,U+0069,LATIN SMALL LETTER I,Ll,14938,False,False
o,U+006F,LATIN SMALL LETTER O,Ll,14764,False,False
"""",U+0022,QUOTATION MARK,Po,14536,False,False
(,U+0028,LEFT PARENTHESIS,Ps,14510,False,False
',U+0027,APOSTROPHE,Po,13665,False,False
ෘ,U+0DD8,SINHALA VOWEL SIGN GAETTA-PILLA,Mc,13619,True,False
t,U+0074,LATIN SMALL LETTER T,Ll,13040,False,False
r,U+0072,LATIN SMALL LETTER R,Ll,12507,False,False
n,U+006E,LATIN SMALL LETTER N,Ll,12402,False,False
s,U+0073,LATIN SMALL LETTER S,Ll,11112,False,False
‌,U+200C,ZERO WIDTH NON-JOINER,Cf,10884,False,False
-,U+002D,HYPHEN-MINUS,Pd,10793,False,False
5,U+0035,DIGIT FIVE,Nd,10783,False,False
ඹ,U+0DB9,SINHALA LETTER AMBA BAYANNA,Lo,10072,True,False
?,U+003F,QUESTION MARK,Po,9917,False,False
3,U+0033,DIGIT THREE,Nd,9466,False,False
ඛ,U+0D9B,SINHALA LETTER MAHAAPRAANA KAYANNA,Lo,9397,True,False
9,U+0039,DIGIT NINE,Nd,9212,False,False
l,U+006C,LATIN SMALL LETTER L,Ll,8520,False,False
ෆ,U+0DC6,SINHALA LETTER FAYANNA,Lo,7828,True,False
4,U+0034,DIGIT FOUR,Nd,7701,False,False
ෛ,U+0DDB,SINHALA VOWEL SIGN KOMBU DEKA,Mc,7357,True,False
ෞ,U+0DDE,SINHALA VOWEL SIGN KOMBUVA HAA GAYANUKITTA,Mc,7250,True,False
ඊ,U+0D8A,SINHALA LETTER IIYANNA,Lo,7250,True,False
ඕ,U+0D95,SINHALA LETTER OOYANNA,Lo,7239,True,False
:,U+003A,COLON,Po,7080,False,False
8,U+0038,DIGIT EIGHT,Nd,6946,False,False
6,U+0036,DIGIT SIX,Nd,6879,False,False
c,U+0063,LATIN SMALL LETTER C,Ll,6791,False,False
7,U+0037,DIGIT SEVEN,Nd,6517,False,False
u,U+0075,LATIN SMALL LETTER U,Ll,5693,False,False
d,U+0064,LATIN SMALL LETTER D,Ll,5667,False,False
…,U+2026,HORIZONTAL ELLIPSIS,Po,5636,False,False
m,U+006D,LATIN SMALL LETTER M,Ll,5626,False,False
ඡ,U+0DA1,SINHALA LETTER MAHAAPRAANA CAYANNA,Lo,5615,True,False
h,U+0068,LATIN SMALL LETTER H,Ll,4751,False,False
ඨ,U+0DA8,SINHALA LETTER MAHAAPRAANA TTAYANNA,Lo,4735,True,False
p,U+0070,LATIN SMALL LETTER P,Ll,4697,False,False
ඥ,U+0DA5,SINHALA LETTER TAALUJA SANYOOGA NAAKSIKYAYA,Lo,4418,True,False
g,U+0067,LATIN SMALL LETTER G,Ll,4277,False,False
/,U+002F,SOLIDUS,Po,4238,False,False
ඝ,U+0D9D,SINHALA LETTER MAHAAPRAANA GAYANNA,Lo,3906,True,False
S,U+0053,LATIN CAPITAL LETTER S,Lu,3704,False,False
!,U+0021,EXCLAMATION MARK,Po,3519,False,False
C,U+0043,LATIN CAPITAL LETTER C,Lu,3511,False,False
A,U+0041,LATIN CAPITAL LETTER A,Lu,3386,False,False
y,U+0079,LATIN SMALL LETTER Y,Ll,3370,False,False
P,U+0050,LATIN CAPITAL LETTER P,Lu,3333,False,False
T,U+0054,LATIN CAPITAL LETTER T,Lu,2980,False,False
–,U+2013,EN DASH,Pd,2935,False,False
ඬ,U+0DAC,SINHALA LETTER SANYAKA DDAYANNA,Lo,2813,True,False
M,U+004D,LATIN CAPITAL LETTER M,Lu,2711,False,False
I,U+0049,LATIN CAPITAL LETTER I,Lu,2702,False,False
D,U+0044,LATIN CAPITAL LETTER D,Lu,2663,False,False
k,U+006B,LATIN SMALL LETTER K,Ll,2612,False,False
v,U+0076,LATIN SMALL LETTER V,Ll,2439,False,False
b,U+0062,LATIN SMALL LETTER B,Ll,2341,False,False
f,U+0066,LATIN SMALL LETTER F,Ll,2201,False,False
w,U+0077,LATIN SMALL LETTER W,Ll,2160,False,False
R,U+0052,LATIN CAPITAL LETTER R,Lu,2046,False,False
ඵ,U+0DB5,SINHALA LETTER MAHAAPRAANA PAYANNA,Lo,2031,True,False
L,U+004C,LATIN CAPITAL LETTER L,Lu,1946,False,False
E,U+0045,LATIN CAPITAL LETTER E,Lu,1896,False,False
G,U+0047,LATIN CAPITAL LETTER G,Lu,1747,False,False
O,U+004F,LATIN CAPITAL LETTER O,Lu,1716,False,False
N,U+004E,LATIN CAPITAL LETTER N,Lu,1706,False,False
B,U+0042,LATIN CAPITAL LETTER B,Lu,1685,False,False
;,U+003B,SEMICOLON,Po,1572,False,False
%,U+0025,PERCENT SIGN,Po,1498,False,False
F,U+0046,LATIN CAPITAL LETTER F,Lu,1493,False,False
H,U+0048,LATIN CAPITAL LETTER H,Lu,1460,False,False
ඈ,U+0D88,SINHALA LETTER AEEYANNA,Lo,1313,True,False
ඤ,U+0DA4,SINHALA LETTER TAALUJA NAASIKYAYA,Lo,1188,True,False
V,U+0056,LATIN CAPITAL LETTER V,Lu,1185,False,False
x,U+0078,LATIN SMALL LETTER X,Ll,1132,False,False
*,U+002A,ASTERISK,Po,1071,False,False
U,U+0055,LATIN CAPITAL LETTER U,Lu,987,False,False
W,U+0057,LATIN CAPITAL LETTER W,Lu,949,False,False
ඞ,U+0D9E,SINHALA LETTER KANTAJA NAASIKYAYA,Lo,943,True,False
],U+005D,RIGHT SQUARE BRACKET,Pe,932,False,False
[,U+005B,LEFT SQUARE BRACKET,Ps,931,False,False
­,U+00AD,SOFT HYPHEN,Cf,826,False,False
ඖ,U+0D96,SINHALA LETTER AUYANNA,Lo,793,True,False
ඌ,U+0D8C,SINHALA LETTER UUYANNA,Lo,774,True,False
	,U+0009,UNNAMED,Cc,732,False,True
»,U+00BB,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,Pf,689,False,False
X,U+0058,LATIN CAPITAL LETTER X,Lu,616,False,False
z,U+007A,LATIN SMALL LETTER Z,Ll,605,False,False
|,U+007C,VERTICAL LINE,Sm,594,False,False
K,U+004B,LATIN CAPITAL LETTER K,Lu,572,False,False
•,U+2022,BULLET,Po,537,False,False
�,U+FFFD,REPLACEMENT CHARACTER,So,529,False,False
​,U+200B,ZERO WIDTH SPACE,Cf,505,False,False
+,U+002B,PLUS SIGN,Sm,495,False,False
>,U+003E,GREATER-THAN SIGN,Sm,482,False,False
J,U+004A,LATIN CAPITAL LETTER J,Lu,465,False,False
ඓ,U+0D93,SINHALA LETTER AIYANNA,Lo,427,True,False
Y,U+0059,LATIN CAPITAL LETTER Y,Lu,337,False,False
j,U+006A,LATIN SMALL LETTER J,Ll,313,False,False
`,U+0060,GRAVE ACCENT,Sk,304,False,False
=,U+003D,EQUALS SIGN,Sm,258,False,False
·,U+00B7,MIDDLE DOT,Po,257,False,False
@,U+0040,COMMERCIAL AT,Po,240,False,False
ඍ,U+0D8D,SINHALA LETTER IRUYANNA,Lo,235,True,False
 ,U+2009,THIN SPACE,Zs,231,False,True
෴,U+0DF4,SINHALA PUNCTUATION KUNDDALIYA,Po,207,True,False
