metric,n,min,p10,p25,median,p75,p90,p95,p99,max,mean,std
word_count,10730154,5.0,8.0,10.0,14.0,22.0,31.0,39.0,59.0,2417.0,17.585658230068272,11.976277689226098
codepoint_count,10730154,13.0,46.0,60.0,88.0,137.0,202.0,250.0,385.0,21316.0,110.64101652222325,79.35631584401204
grapheme_count,10730154,10.0,33.0,43.0,63.0,98.0,143.0,177.0,273.0,18050.0,78.6987373154197,56.49570285169964
utf8_byte_count,10730154,21.0,119.0,155.0,232.0,361.0,534.0,662.0,1016.0,37490.0,290.3732159855301,208.4308679460359
sinhala_ratio_nonspace,10730154,0.09546165884194054,0.8719820334756772,0.9359428438737826,0.964283812213124,0.9782417179316637,0.9860308107945224,0.9900452785850624,1.0,1.0,0.9398003007429612,0.07551645946682302
punctuation_count,10730154,0.0,1.0,1.0,1.0,3.0,5.0,6.0,12.0,1757.0,2.2130783957061566,3.081864519125976
latin_letter_count,10730154,0.0,0.0,0.0,0.0,0.0,2.0,10.0,29.0,9056.0,1.4130655533928032,7.793952886987898
