word_count,grapheme_count,codepoint_count,src,single_line_width_px,wrapped_line_count,estimated_image_height_px,fits_single_line,pixels_per_grapheme
7,26,35,CulturaX,565.328125,1,91,True,21.743389423076923
7,25,40,CulturaX,727.484375,1,91,True,29.099375
11,46,65,CulturaX,1280.265625,2,134,False,27.831861413043477
26,132,196,CulturaX,3643.078125,4,220,False,27.599076704545453
20,86,123,CulturaX,2367.203125,3,177,False,27.52561773255814
21,95,143,CulturaX,2651.640625,3,177,False,27.91200657894737
23,98,132,CulturaX,2722.953125,3,177,False,27.785235969387756
13,55,77,CulturaX,1505.40625,2,134,False,27.371022727272727
16,65,90,CulturaX,1814.453125,2,134,False,27.91466346153846
20,82,118,CulturaX,2224.265625,3,177,False,27.125190548780488
19,82,106,CulturaX,2189.203125,3,177,False,26.697599085365855
14,57,75,CulturaX,1607.828125,2,134,False,28.20751096491228
7,27,42,CulturaX,770.359375,1,91,True,28.531828703703702
9,44,61,CulturaX,1118.84375,2,134,False,25.428267045454547
19,89,125,CulturaX,2309.0,3,177,False,25.9438202247191
25,105,141,CulturaX,2842.90625,4,220,False,27.075297619047618
27,128,182,CulturaX,3252.359375,4,220,False,25.4090576171875
10,42,60,CulturaX,1047.65625,2,134,False,24.944196428571427
29,129,187,CulturaX,3445.734375,4,220,False,26.711119186046513
43,186,260,CulturaX,5088.375,6,306,False,27.356854838709676
7,28,41,CulturaX,826.46875,1,91,True,29.516741071428573
20,106,151,CulturaX,2818.453125,3,177,False,26.5891804245283
20,75,101,CulturaX,2077.515625,3,177,False,27.700208333333332
7,32,46,CulturaX,897.640625,1,91,True,28.05126953125
8,36,46,CulturaX,878.75,1,91,True,24.40972222222222
15,67,95,CulturaX,1935.90625,3,177,False,28.894123134328357
10,47,69,CulturaX,1269.421875,2,134,False,27.008976063829788
15,74,111,CulturaX,1939.6875,3,177,False,26.211993243243242
10,50,71,CulturaX,1303.453125,2,134,False,26.0690625
27,125,165,CulturaX,3118.859375,4,220,False,24.950875
25,121,166,CulturaX,3033.734375,4,220,False,25.072184917355372
13,51,72,CulturaX,1336.421875,2,134,False,26.204350490196077
8,38,44,CulturaX,756.03125,1,91,True,19.895559210526315
9,41,61,CulturaX,1079.09375,2,134,False,26.319359756097562
24,114,149,CulturaX,2935.96875,4,220,False,25.754111842105264
32,154,210,CulturaX,3985.796875,5,263,False,25.88179788961039
25,114,157,CulturaX,3117.375,4,220,False,27.345394736842106
13,61,83,CulturaX,1608.734375,2,134,False,26.372694672131146
15,71,100,CulturaX,1896.65625,3,177,False,26.713468309859156
18,79,114,CulturaX,2131.90625,3,177,False,26.98615506329114
10,38,57,CulturaX,1061.3125,2,134,False,27.929276315789473
10,42,59,CulturaX,1082.40625,2,134,False,25.77157738095238
24,116,167,CulturaX,3071.5625,4,220,False,26.478987068965516
31,135,201,CulturaX,3668.265625,4,220,False,27.172337962962963
8,44,55,CulturaX,1009.96875,2,134,False,22.953835227272727
15,72,106,CulturaX,1984.359375,3,177,False,27.560546875
15,54,79,CulturaX,1368.578125,2,134,False,25.34403935185185
17,76,112,CulturaX,1984.015625,3,177,False,26.10546875
9,44,64,CulturaX,1229.859375,2,134,False,27.951349431818183
13,57,81,CulturaX,1592.984375,2,134,False,27.947094298245613
11,34,45,CulturaX,837.015625,1,91,True,24.618106617647058
25,111,154,CulturaX,3018.234375,4,220,False,27.191300675675677
15,64,99,CulturaX,1797.140625,2,134,False,28.080322265625
22,100,141,CulturaX,2630.015625,3,177,False,26.30015625
14,69,99,CulturaX,1819.984375,3,177,False,26.376585144927535
10,50,61,CulturaX,1192.921875,2,134,False,23.8584375
9,40,55,CulturaX,955.21875,1,91,True,23.88046875
18,83,118,CulturaX,2279.65625,3,177,False,27.465737951807228
12,42,56,CulturaX,1071.890625,2,134,False,25.521205357142858
24,122,174,CulturaX,3227.34375,4,220,False,26.45363729508197
8,33,49,CulturaX,894.703125,1,91,True,27.11221590909091
15,68,94,CulturaX,1717.765625,2,134,False,25.26125919117647
13,56,82,CulturaX,1617.453125,2,134,False,28.883091517857142
12,66,96,CulturaX,1701.34375,2,134,False,25.777935606060606
11,46,60,CulturaX,1149.640625,2,134,False,24.9921875
8,38,60,CulturaX,1095.53125,2,134,False,28.829769736842106
19,87,121,CulturaX,2402.390625,3,177,False,27.613685344827587
11,39,53,CulturaX,1059.875,2,134,False,27.17628205128205
20,98,139,CulturaX,2761.65625,3,177,False,28.180165816326532
28,108,152,CulturaX,2810.9375,4,220,False,26.027199074074073
9,40,59,CulturaX,1144.1875,2,134,False,28.6046875
8,35,50,CulturaX,987.5,2,134,False,28.214285714285715
13,59,84,CulturaX,1519.53125,2,134,False,25.754766949152543
25,117,167,CulturaX,3250.5625,4,220,False,27.78258547008547
7,31,41,CulturaX,828.453125,1,91,True,26.724294354838708
12,52,72,CulturaX,1420.03125,2,134,False,27.30829326923077
34,126,176,CulturaX,3298.1875,4,220,False,26.17609126984127
21,89,121,CulturaX,2353.96875,3,177,False,26.449087078651687
12,49,65,CulturaX,1243.078125,2,134,False,25.368941326530614
9,35,45,CulturaX,925.609375,1,91,True,26.445982142857144
22,90,130,CulturaX,2526.875,3,177,False,28.07638888888889
30,129,177,CulturaX,3471.421875,4,220,False,26.910247093023255
19,82,115,CulturaX,2167.734375,3,177,False,26.43578506097561
22,109,158,CulturaX,2827.0,4,220,False,25.93577981651376
41,186,258,CulturaX,4961.703125,6,306,False,26.675823252688172
8,32,47,CulturaX,782.609375,1,91,True,24.45654296875
29,136,201,CulturaX,3793.65625,5,263,False,27.89453125
17,75,103,CulturaX,1876.4375,2,134,False,25.019166666666667
9,41,57,CulturaX,1138.09375,2,134,False,27.758384146341463
27,125,170,CulturaX,3293.65625,4,220,False,26.34925
39,175,251,CulturaX,4748.515625,6,306,False,27.134375
18,82,106,CulturaX,1977.765625,3,177,False,24.119092987804876
18,72,105,CulturaX,1907.890625,2,134,False,26.49848090277778
13,60,81,CulturaX,1471.640625,2,134,False,24.52734375
10,38,55,CulturaX,1090.390625,2,134,False,28.69449013157895
19,89,133,CulturaX,2452.953125,3,177,False,27.56127106741573
21,89,123,CulturaX,2416.6875,3,177,False,27.15379213483146
8,44,62,CulturaX,1098.15625,2,134,False,24.95809659090909
11,40,55,CulturaX,1045.015625,2,134,False,26.125390625
12,48,62,CulturaX,1221.265625,2,134,False,25.443033854166668
23,99,138,CulturaX,2626.65625,3,177,False,26.53188131313131
15,75,105,CulturaX,1914.75,3,177,False,25.53
