character,codepoint,unicode_name,unicode_category,count,is_sinhala_block,is_whitespace,font_has_codepoint
๬,U+0E6C,UNNAMED,Cn,9,False,False,False
հ,U+0570,ARMENIAN SMALL LETTER HO,Ll,9,False,False,False
夫,U+592B,CJK UNIFIED IDEOGRAPH-592B,Lo,9,False,False,False
备,U+5907,CJK UNIFIED IDEOGRAPH-5907,Lo,9,False,False,False
Κ,U+039A,GREEK CAPITAL LETTER KAPPA,Lu,9,False,False,False
△,U+25B3,WHITE UP-POINTING TRIANGLE,So,9,False,False,False
마,U+B9C8,HANGUL SYLLABLE MA,Lo,9,False,False,False
❑,U+2751,LOWER RIGHT SHADOWED WHITE SQUARE,So,9,False,False,False
᳘,U+1CD8,VEDIC TONE CANDRA BELOW,Mn,9,False,False,False
➟,U+279F,DASHED TRIANGLE-HEADED RIGHTWARDS ARROW,So,9,False,False,False
؟,U+061F,ARABIC QUESTION MARK,Po,9,False,False,False
๣,U+0E63,UNNAMED,Cn,9,False,False,False
🍂,U+1F342,FALLEN LEAF,So,9,False,False,False
🙉,U+1F649,HEAR-NO-EVIL MONKEY,So,9,False,False,False
ા,U+0ABE,GUJARATI VOWEL SIGN AA,Mc,9,False,False,False
🐊,U+1F40A,CROCODILE,So,9,False,False,False
방,U+BC29,HANGUL SYLLABLE BANG,Lo,9,False,False,False
ṅ,U+1E45,LATIN SMALL LETTER N WITH DOT ABOVE,Ll,9,False,False,False
🔵,U+1F535,LARGE BLUE CIRCLE,So,9,False,False,False
村,U+6751,CJK UNIFIED IDEOGRAPH-6751,Lo,9,False,False,False
῝,U+1FDD,GREEK DASIA AND VARIA,Sk,9,False,False,False
ల,U+0C32,TELUGU LETTER LA,Lo,9,False,False,False
書,U+66F8,CJK UNIFIED IDEOGRAPH-66F8,Lo,9,False,False,False
🎥,U+1F3A5,MOVIE CAMERA,So,9,False,False,False
∂,U+2202,PARTIAL DIFFERENTIAL,Sm,9,False,False,False
임,U+C784,HANGUL SYLLABLE IM,Lo,9,False,False,False
😻,U+1F63B,SMILING CAT FACE WITH HEART-SHAPED EYES,So,9,False,False,False
州,U+5DDE,CJK UNIFIED IDEOGRAPH-5DDE,Lo,9,False,False,False
🎁,U+1F381,WRAPPED PRESENT,So,9,False,False,False
ɕ,U+0255,LATIN SMALL LETTER C WITH CURL,Ll,9,False,False,False
👿,U+1F47F,IMP,So,9,False,False,False
๯,U+0E6F,UNNAMED,Cn,9,False,False,False
🦜,U+1F99C,PARROT,So,9,False,False,False
œ,U+0153,LATIN SMALL LIGATURE OE,Ll,9,False,False,False
➔,U+2794,HEAVY WIDE-HEADED RIGHTWARDS ARROW,So,9,False,False,False
成,U+6210,CJK UNIFIED IDEOGRAPH-6210,Lo,9,False,False,False
😣,U+1F623,PERSEVERING FACE,So,9,False,False,False
Í,U+00CD,LATIN CAPITAL LETTER I WITH ACUTE,Lu,9,False,False,False
ว,U+0E27,THAI CHARACTER WO WAEN,Lo,9,False,False,False
⑥,U+2465,CIRCLED DIGIT SIX,No,9,False,False,False
오,U+C624,HANGUL SYLLABLE O,Lo,9,False,False,False
◉,U+25C9,FISHEYE,So,9,False,False,False
帝,U+5E1D,CJK UNIFIED IDEOGRAPH-5E1D,Lo,9,False,False,False
ನ,U+0CA8,KANNADA LETTER NA,Lo,9,False,False,False
எ,U+0B8E,TAMIL LETTER E,Lo,9,False,False,False
ာ,U+102C,MYANMAR VOWEL SIGN AA,Mc,9,False,False,False
,U+F09F,UNNAMED,Co,8,False,False,False
금,U+AE08,HANGUL SYLLABLE GEUM,Lo,8,False,False,False
ծ,U+056E,ARMENIAN SMALL LETTER CA,Ll,8,False,False,False
계,U+ACC4,HANGUL SYLLABLE GYE,Lo,8,False,False,False
😵,U+1F635,DIZZY FACE,So,8,False,False,False
ը,U+0568,ARMENIAN SMALL LETTER ET,Ll,8,False,False,False
ղ,U+0572,ARMENIAN SMALL LETTER GHAD,Ll,8,False,False,False
,U+F021,UNNAMED,Co,8,False,False,False
的,U+7684,CJK UNIFIED IDEOGRAPH-7684,Lo,8,False,False,False
🍺,U+1F37A,BEER MUG,So,8,False,False,False
,U+F0AB,UNNAMED,Co,8,False,False,False
∶,U+2236,RATIO,Sm,8,False,False,False
ф,U+0444,CYRILLIC SMALL LETTER EF,Ll,8,False,False,False
̪,U+032A,COMBINING BRIDGE BELOW,Mn,8,False,False,False
≠,U+2260,NOT EQUAL TO,Sm,8,False,False,False
Ф,U+0424,CYRILLIC CAPITAL LETTER EF,Lu,8,False,False,False
智,U+667A,CJK UNIFIED IDEOGRAPH-667A,Lo,8,False,False,False
⇔,U+21D4,LEFT RIGHT DOUBLE ARROW,Sm,8,False,False,False
۱,U+06F1,EXTENDED ARABIC-INDIC DIGIT ONE,Nd,8,False,False,False
北,U+5317,CJK UNIFIED IDEOGRAPH-5317,Lo,8,False,False,False
۴,U+06F4,EXTENDED ARABIC-INDIC DIGIT FOUR,Nd,8,False,False,False
ס,U+05E1,HEBREW LETTER SAMEKH,Lo,8,False,False,False
会,U+4F1A,CJK UNIFIED IDEOGRAPH-4F1A,Lo,8,False,False,False
വ,U+0D35,MALAYALAM LETTER VA,Lo,8,False,False,False
໷,U+0EF7,UNNAMED,Cn,8,False,False,False
໤,U+0EE4,UNNAMED,Cn,8,False,False,False
🤝,U+1F91D,HANDSHAKE,So,8,False,False,False
♍,U+264D,VIRGO,So,8,False,False,False
∕,U+2215,DIVISION SLASH,Sm,8,False,False,False
🥳,U+1F973,FACE WITH PARTY HORN AND PARTY HAT,So,8,False,False,False
‣,U+2023,TRIANGULAR BULLET,Po,8,False,False,False
ח,U+05D7,HEBREW LETTER HET,Lo,8,False,False,False
관,U+AD00,HANGUL SYLLABLE GWAN,Lo,8,False,False,False
শ,U+09B6,BENGALI LETTER SHA,Lo,8,False,False,False
ა,U+10D0,GEORGIAN LETTER AN,Ll,8,False,False,False
្,U+17D2,KHMER SIGN COENG,Mn,8,False,False,False
』,U+300F,RIGHT WHITE CORNER BRACKET,Pe,8,False,False,False
ಾ,U+0CBE,KANNADA VOWEL SIGN AA,Mc,8,False,False,False
І,U+0406,CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I,Lu,8,False,False,False
𝗔,U+1D5D4,MATHEMATICAL SANS-SERIF BOLD CAPITAL A,Lu,8,False,False,False
殿,U+6BBF,CJK UNIFIED IDEOGRAPH-6BBF,Lo,8,False,False,False
석,U+C11D,HANGUL SYLLABLE SEOG,Lo,8,False,False,False
집,U+C9D1,HANGUL SYLLABLE JIB,Lo,8,False,False,False
❷,U+2777,DINGBAT NEGATIVE CIRCLED DIGIT TWO,No,8,False,False,False
Ú,U+00DA,LATIN CAPITAL LETTER U WITH ACUTE,Lu,8,False,False,False
û,U+00FB,LATIN SMALL LETTER U WITH CIRCUMFLEX,Ll,8,False,False,False
ḻ,U+1E3B,LATIN SMALL LETTER L WITH LINE BELOW,Ll,8,False,False,False
Е,U+0415,CYRILLIC CAPITAL LETTER IE,Lu,8,False,False,False
ಿ,U+0CBF,KANNADA VOWEL SIGN I,Mn,8,False,False,False
거,U+AC70,HANGUL SYLLABLE GEO,Lo,8,False,False,False
子,U+5B50,CJK UNIFIED IDEOGRAPH-5B50,Lo,8,False,False,False
ั,U+0E31,THAI CHARACTER MAI HAN-AKAT,Mn,8,False,False,False
ง,U+0E07,THAI CHARACTER NGO NGU,Lo,8,False,False,False
า,U+0E32,THAI CHARACTER SARA AA,Lo,8,False,False,False
❉,U+2749,BALLOON-SPOKED ASTERISK,So,8,False,False,False
∅,U+2205,EMPTY SET,Sm,8,False,False,False
ד,U+05D3,HEBREW LETTER DALET,Lo,8,False,False,False
下,U+4E0B,CJK UNIFIED IDEOGRAPH-4E0B,Lo,8,False,False,False
🐋,U+1F40B,WHALE,So,8,False,False,False
թ,U+0569,ARMENIAN SMALL LETTER TO,Ll,8,False,False,False
đ,U+0111,LATIN SMALL LETTER D WITH STROKE,Ll,8,False,False,False
✭,U+272D,OUTLINED BLACK STAR,So,8,False,False,False
가,U+AC00,HANGUL SYLLABLE GA,Lo,8,False,False,False
💗,U+1F497,GROWING HEART,So,8,False,False,False
⅔,U+2154,VULGAR FRACTION TWO THIRDS,No,8,False,False,False
に,U+306B,HIRAGANA LETTER NI,Lo,8,False,False,False
ע,U+05E2,HEBREW LETTER AYIN,Lo,8,False,False,False
く,U+304F,HIRAGANA LETTER KU,Lo,8,False,False,False
⏺,U+23FA,BLACK CIRCLE FOR RECORD,So,8,False,False,False
உ,U+0B89,TAMIL LETTER U,Lo,8,False,False,False
地,U+5730,CJK UNIFIED IDEOGRAPH-5730,Lo,8,False,False,False
赢,U+8D62,CJK UNIFIED IDEOGRAPH-8D62,Lo,8,False,False,False
🍐,U+1F350,PEAR,So,8,False,False,False
,U+F4C5,UNNAMED,Co,8,False,False,False
ર,U+0AB0,GUJARATI LETTER RA,Lo,8,False,False,False
閔,U+9594,CJK UNIFIED IDEOGRAPH-9594,Lo,8,False,False,False
є,U+0454,CYRILLIC SMALL LETTER UKRAINIAN IE,Ll,8,False,False,False
,U+F62C,UNNAMED,Co,8,False,False,False
ष,U+0937,DEVANAGARI LETTER SSA,Lo,8,False,False,False
🐄,U+1F404,COW,So,8,False,False,False
🔼,U+1F53C,UP-POINTING SMALL RED TRIANGLE,So,8,False,False,False
আ,U+0986,BENGALI LETTER AA,Lo,8,False,False,False
ﻴ,U+FEF4,ARABIC LETTER YEH MEDIAL FORM,Lo,8,False,False,False
🟡,U+1F7E1,LARGE YELLOW CIRCLE,So,8,False,False,False
ﻟ,U+FEDF,ARABIC LETTER LAM INITIAL FORM,Lo,8,False,False,False
˛,U+02DB,OGONEK,Sk,8,False,False,False
,U+F609,UNNAMED,Co,8,False,False,False
𝐭,U+1D42D,MATHEMATICAL BOLD SMALL T,Ll,8,False,False,False
≦,U+2266,LESS-THAN OVER EQUAL TO,Sm,8,False,False,False
,U+E09F,UNNAMED,Co,8,False,False,False
٫,U+066B,ARABIC DECIMAL SEPARATOR,Po,8,False,False,False
∏,U+220F,N-ARY PRODUCT,Sm,8,False,False,False
🖕,U+1F595,REVERSED HAND WITH MIDDLE FINGER EXTENDED,So,8,False,False,False
𝒂,U+1D482,MATHEMATICAL BOLD ITALIC SMALL A,Ll,8,False,False,False
ￒ,U+FFD2,HALFWIDTH HANGUL LETTER YO,Lo,8,False,False,False
교,U+AD50,HANGUL SYLLABLE GYO,Lo,7,False,False,False
վ,U+057E,ARMENIAN SMALL LETTER VEW,Ll,7,False,False,False
ầ,U+1EA7,LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE,Ll,7,False,False,False
方,U+65B9,CJK UNIFIED IDEOGRAPH-65B9,Lo,7,False,False,False
온,U+C628,HANGUL SYLLABLE ON,Lo,7,False,False,False
☕,U+2615,HOT BEVERAGE,So,7,False,False,False
Ý,U+00DD,LATIN CAPITAL LETTER Y WITH ACUTE,Lu,7,False,False,False
,U+E012,UNNAMED,Co,7,False,False,False
դ,U+0564,ARMENIAN SMALL LETTER DA,Ll,7,False,False,False
ย,U+0E22,THAI CHARACTER YO YAK,Lo,7,False,False,False
こ,U+3053,HIRAGANA LETTER KO,Lo,7,False,False,False
ท,U+0E17,THAI CHARACTER THO THAHAN,Lo,7,False,False,False
ஜ,U+0B9C,TAMIL LETTER JA,Lo,7,False,False,False
‾,U+203E,OVERLINE,Po,7,False,False,False
⧫,U+29EB,BLACK LOZENGE,Sm,7,False,False,False
💘,U+1F498,HEART WITH ARROW,So,7,False,False,False
🤷,U+1F937,SHRUG,So,7,False,False,False
,U+E01B,UNNAMED,Co,7,False,False,False
호,U+D638,HANGUL SYLLABLE HO,Lo,7,False,False,False
ŭ,U+016D,LATIN SMALL LETTER U WITH BREVE,Ll,7,False,False,False
🎂,U+1F382,BIRTHDAY CAKE,So,7,False,False,False
ತ,U+0CA4,KANNADA LETTER TA,Lo,7,False,False,False
ಸ,U+0CB8,KANNADA LETTER SA,Lo,7,False,False,False
世,U+4E16,CJK UNIFIED IDEOGRAPH-4E16,Lo,7,False,False,False
羅,U+7F85,CJK UNIFIED IDEOGRAPH-7F85,Lo,7,False,False,False
ै,U+0948,DEVANAGARI VOWEL SIGN AI,Mn,7,False,False,False
थ,U+0925,DEVANAGARI LETTER THA,Lo,7,False,False,False
,U+F02C,UNNAMED,Co,7,False,False,False
령,U+B839,HANGUL SYLLABLE RYEONG,Lo,7,False,False,False
ए,U+090F,DEVANAGARI LETTER E,Lo,7,False,False,False
ǔ,U+01D4,LATIN SMALL LETTER U WITH CARON,Ll,7,False,False,False
万,U+4E07,CJK UNIFIED IDEOGRAPH-4E07,Lo,7,False,False,False
龍,U+9F8D,CJK UNIFIED IDEOGRAPH-9F8D,Lo,7,False,False,False
𝐢,U+1D422,MATHEMATICAL BOLD SMALL I,Ll,7,False,False,False
が,U+304C,HIRAGANA LETTER GA,Lo,7,False,False,False
귀,U+ADC0,HANGUL SYLLABLE GWI,Lo,7,False,False,False
철,U+CCA0,HANGUL SYLLABLE CEOL,Lo,7,False,False,False
❸,U+2778,DINGBAT NEGATIVE CIRCLED DIGIT THREE,No,7,False,False,False
യ,U+0D2F,MALAYALAM LETTER YA,Lo,7,False,False,False
်,U+103A,MYANMAR SIGN ASAT,Mn,7,False,False,False
标,U+6807,CJK UNIFIED IDEOGRAPH-6807,Lo,7,False,False,False
🔇,U+1F507,SPEAKER WITH CANCELLATION STROKE,So,7,False,False,False
♤,U+2664,WHITE SPADE SUIT,So,7,False,False,False
າ,U+0EB2,LAO VOWEL SIGN AA,Lo,7,False,False,False
♑,U+2651,CAPRICORN,So,7,False,False,False
🍻,U+1F37B,CLINKING BEER MUGS,So,7,False,False,False
𝗛,U+1D5DB,MATHEMATICAL SANS-SERIF BOLD CAPITAL H,Lu,7,False,False,False
ー,U+30FC,KATAKANA-HIRAGANA PROLONGED SOUND MARK,Lm,7,False,False,False
ト,U+30C8,KATAKANA LETTER TO,Lo,7,False,False,False
๑,U+0E51,THAI DIGIT ONE,Nd,7,False,False,False
ী,U+09C0,BENGALI VOWEL SIGN II,Mc,7,False,False,False
宗,U+5B97,CJK UNIFIED IDEOGRAPH-5B97,Lo,7,False,False,False
院,U+9662,CJK UNIFIED IDEOGRAPH-9662,Lo,7,False,False,False
🐅,U+1F405,TIGER,So,7,False,False,False
ി,U+0D3F,MALAYALAM VOWEL SIGN I,Mc,7,False,False,False
٨,U+0668,ARABIC-INDIC DIGIT EIGHT,Nd,7,False,False,False
ൂ,U+0D42,MALAYALAM VOWEL SIGN UU,Mn,7,False,False,False
↵,U+21B5,DOWNWARDS ARROW WITH CORNER LEFTWARDS,So,7,False,False,False
史,U+53F2,CJK UNIFIED IDEOGRAPH-53F2,Lo,7,False,False,False
丨,U+4E28,CJK UNIFIED IDEOGRAPH-4E28,Lo,7,False,False,False
正,U+6B63,CJK UNIFIED IDEOGRAPH-6B63,Lo,7,False,False,False
📸,U+1F4F8,CAMERA WITH FLASH,So,7,False,False,False
カ,U+30AB,KATAKANA LETTER KA,Lo,7,False,False,False
۲,U+06F2,EXTENDED ARABIC-INDIC DIGIT TWO,Nd,7,False,False,False
尙,U+5C19,CJK UNIFIED IDEOGRAPH-5C19,Lo,7,False,False,False
ʰ,U+02B0,MODIFIER LETTER SMALL H,Lm,7,False,False,False
ự,U+1EF1,LATIN SMALL LETTER U WITH HORN AND DOT BELOW,Ll,7,False,False,False
道,U+9053,CJK UNIFIED IDEOGRAPH-9053,Lo,7,False,False,False
麗,U+9E97,CJK UNIFIED IDEOGRAPH-9E97,Lo,7,False,False,False
✈,U+2708,AIRPLANE,So,7,False,False,False
灵,U+7075,CJK UNIFIED IDEOGRAPH-7075,Lo,7,False,False,False
𝟵,U+1D7F5,MATHEMATICAL SANS-SERIF BOLD DIGIT NINE,Nd,7,False,False,False
ט,U+05D8,HEBREW LETTER TET,Lo,7,False,False,False
̎,U+030E,COMBINING DOUBLE VERTICAL LINE ABOVE,Mn,7,False,False,False
学,U+5B66,CJK UNIFIED IDEOGRAPH-5B66,Lo,7,False,False,False
🏃,U+1F3C3,RUNNER,So,7,False,False,False
⦾,U+29BE,CIRCLED WHITE BULLET,Sm,7,False,False,False
🍨,U+1F368,ICE CREAM,So,7,False,False,False
๾,U+0E7E,UNNAMED,Cn,7,False,False,False
🚶,U+1F6B6,PEDESTRIAN,So,7,False,False,False
⛵,U+26F5,SAILBOAT,So,7,False,False,False
💝,U+1F49D,HEART WITH RIBBON,So,7,False,False,False
ン,U+30F3,KATAKANA LETTER N,Lo,7,False,False,False
♟,U+265F,BLACK CHESS PAWN,So,7,False,False,False
ﻮ,U+FEEE,ARABIC LETTER WAW FINAL FORM,Lo,7,False,False,False
ध,U+0927,DEVANAGARI LETTER DHA,Lo,7,False,False,False
𝐞,U+1D41E,MATHEMATICAL BOLD SMALL E,Ll,7,False,False,False
ത,U+0D24,MALAYALAM LETTER TA,Lo,7,False,False,False
,U+E660,UNNAMED,Co,7,False,False,False
我,U+6211,CJK UNIFIED IDEOGRAPH-6211,Lo,7,False,False,False
ү,U+04AF,CYRILLIC SMALL LETTER STRAIGHT U,Ll,7,False,False,False
̂,U+0302,COMBINING CIRCUMFLEX ACCENT,Mn,7,False,False,False
Ν,U+039D,GREEK CAPITAL LETTER NU,Lu,7,False,False,False
,U+F4CC,UNNAMED,Co,7,False,False,False
∫,U+222B,INTEGRAL,Sm,7,False,False,False
♨,U+2668,HOT SPRINGS,So,7,False,False,False
Χ,U+03A7,GREEK CAPITAL LETTER CHI,Lu,7,False,False,False
당,U+B2F9,HANGUL SYLLABLE DANG,Lo,7,False,False,False
◇,U+25C7,WHITE DIAMOND,So,7,False,False,False
ễ,U+1EC5,LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE,Ll,7,False,False,False
ḥ,U+1E25,LATIN SMALL LETTER H WITH DOT BELOW,Ll,7,False,False,False
っ,U+3063,HIRAGANA LETTER SMALL TU,Lo,7,False,False,False
♡,U+2661,WHITE HEART SUIT,So,7,False,False,False
亶,U+4EB6,CJK UNIFIED IDEOGRAPH-4EB6,Lo,7,False,False,False
၀,U+1040,MYANMAR DIGIT ZERO,Nd,6,False,False,False
ก,U+0E01,THAI CHARACTER KO KAI,Lo,6,False,False,False
士,U+58EB,CJK UNIFIED IDEOGRAPH-58EB,Lo,6,False,False,False
れ,U+308C,HIRAGANA LETTER RE,Lo,6,False,False,False
⌖,U+2316,POSITION INDICATOR,So,6,False,False,False
❺,U+277A,DINGBAT NEGATIVE CIRCLED DIGIT FIVE,No,6,False,False,False
ㅇ,U+3147,HANGUL LETTER IEUNG,Lo,6,False,False,False
ㄱ,U+3131,HANGUL LETTER KIYEOK,Lo,6,False,False,False
⁠,U+2060,WORD JOINER,Cf,6,False,False,False
👋,U+1F44B,WAVING HAND SIGN,So,6,False,False,False
🗿,U+1F5FF,MOYAI,So,6,False,False,False
,U+F644,UNNAMED,Co,6,False,False,False
,U+F0AD,UNNAMED,Co,6,False,False,False
工,U+5DE5,CJK UNIFIED IDEOGRAPH-5DE5,Lo,6,False,False,False
,U+F071,UNNAMED,Co,6,False,False,False
,U+F04C,UNNAMED,Co,6,False,False,False
Հ,U+0540,ARMENIAN CAPITAL LETTER HO,Lu,6,False,False,False
ె,U+0C46,TELUGU VOWEL SIGN E,Mn,6,False,False,False
ြ,U+103C,MYANMAR CONSONANT SIGN MEDIAL RA,Mc,6,False,False,False
န,U+1014,MYANMAR LETTER NA,Lo,6,False,False,False
ъ,U+044A,CYRILLIC SMALL LETTER HARD SIGN,Ll,6,False,False,False
ല,U+0D32,MALAYALAM LETTER LA,Lo,6,False,False,False
ാ,U+0D3E,MALAYALAM VOWEL SIGN AA,Mc,6,False,False,False
郡,U+90E1,CJK UNIFIED IDEOGRAPH-90E1,Lo,6,False,False,False
語,U+8A9E,CJK UNIFIED IDEOGRAPH-8A9E,Lo,6,False,False,False
ї,U+0457,CYRILLIC SMALL LETTER YI,Ll,6,False,False,False
性,U+6027,CJK UNIFIED IDEOGRAPH-6027,Lo,6,False,False,False
❹,U+2779,DINGBAT NEGATIVE CIRCLED DIGIT FOUR,No,6,False,False,False
✱,U+2731,HEAVY ASTERISK,So,6,False,False,False
재,U+C7AC,HANGUL SYLLABLE JAE,Lo,6,False,False,False
손,U+C190,HANGUL SYLLABLE SON,Lo,6,False,False,False
실,U+C2E4,HANGUL SYLLABLE SIL,Lo,6,False,False,False
動,U+52D5,CJK UNIFIED IDEOGRAPH-52D5,Lo,6,False,False,False
り,U+308A,HIRAGANA LETTER RI,Lo,6,False,False,False
ら,U+3089,HIRAGANA LETTER RA,Lo,6,False,False,False
,U+E001,UNNAMED,Co,6,False,False,False
𝐡,U+1D421,MATHEMATICAL BOLD SMALL H,Ll,6,False,False,False
î,U+00EE,LATIN SMALL LETTER I WITH CIRCUMFLEX,Ll,6,False,False,False
🤟,U+1F91F,I LOVE YOU HAND SIGN,So,6,False,False,False
림,U+B9BC,HANGUL SYLLABLE RIM,Lo,6,False,False,False
ț,U+021B,LATIN SMALL LETTER T WITH COMMA BELOW,Ll,6,False,False,False
آ,U+0622,ARABIC LETTER ALEF WITH MADDA ABOVE,Lo,6,False,False,False
촌,U+CD0C,HANGUL SYLLABLE CON,Lo,6,False,False,False
聖,U+8056,CJK UNIFIED IDEOGRAPH-8056,Lo,6,False,False,False
眞,U+771E,CJK UNIFIED IDEOGRAPH-771E,Lo,6,False,False,False
武,U+6B66,CJK UNIFIED IDEOGRAPH-6B66,Lo,6,False,False,False
아,U+C544,HANGUL SYLLABLE A,Lo,6,False,False,False
西,U+897F,CJK UNIFIED IDEOGRAPH-897F,Lo,6,False,False,False
🖊,U+1F58A,LOWER LEFT BALLPOINT PEN,So,6,False,False,False
릉,U+B989,HANGUL SYLLABLE REUNG,Lo,6,False,False,False
친,U+CE5C,HANGUL SYLLABLE CIN,Lo,6,False,False,False
ម,U+1798,KHMER LETTER MO,Lo,6,False,False,False
ם,U+05DD,HEBREW LETTER FINAL MEM,Lo,6,False,False,False
😗,U+1F617,KISSING FACE,So,6,False,False,False
😴,U+1F634,SLEEPING FACE,So,6,False,False,False
💦,U+1F4A6,SPLASHING SWEAT SYMBOL,So,6,False,False,False
Μ,U+039C,GREEK CAPITAL LETTER MU,Lu,6,False,False,False
🔽,U+1F53D,DOWN-POINTING SMALL RED TRIANGLE,So,6,False,False,False
台,U+53F0,CJK UNIFIED IDEOGRAPH-53F0,Lo,6,False,False,False
せ,U+305B,HIRAGANA LETTER SE,Lo,6,False,False,False
록,U+B85D,HANGUL SYLLABLE ROG,Lo,6,False,False,False
🌚,U+1F31A,NEW MOON WITH FACE,So,6,False,False,False
Β,U+0392,GREEK CAPITAL LETTER BETA,Lu,6,False,False,False
ј,U+0458,CYRILLIC SMALL LETTER JE,Ll,6,False,False,False
,U+F449,UNNAMED,Co,6,False,False,False
ख,U+0916,DEVANAGARI LETTER KHA,Lo,6,False,False,False
😷,U+1F637,FACE WITH MEDICAL MASK,So,6,False,False,False
🚀,U+1F680,ROCKET,So,6,False,False,False
̊,U+030A,COMBINING RING ABOVE,Mn,6,False,False,False
ి,U+0C3F,TELUGU VOWEL SIGN I,Mn,6,False,False,False
్,U+0C4D,TELUGU SIGN VIRAMA,Mn,6,False,False,False
🤰,U+1F930,PREGNANT WOMAN,So,6,False,False,False
ヶ,U+30F6,KATAKANA LETTER SMALL KE,Lo,6,False,False,False
∩,U+2229,INTERSECTION,Sm,6,False,False,False
़,U+093C,DEVANAGARI SIGN NUKTA,Mn,6,False,False,False
편,U+D3B8,HANGUL SYLLABLE PYEON,Lo,6,False,False,False
,U+F44D,UNNAMED,Co,6,False,False,False
ک,U+06A9,ARABIC LETTER KEHEH,Lo,6,False,False,False
♋,U+264B,CANCER,So,6,False,False,False
ؤ,U+0624,ARABIC LETTER WAW WITH HAMZA ABOVE,Lo,6,False,False,False
🏝,U+1F3DD,DESERT ISLAND,So,6,False,False,False
💑,U+1F491,COUPLE WITH HEART,So,6,False,False,False
И,U+0418,CYRILLIC CAPITAL LETTER I,Lu,6,False,False,False
ิ,U+0E34,THAI CHARACTER SARA I,Mn,6,False,False,False
🐪,U+1F42A,DROMEDARY CAMEL,So,6,False,False,False
͒,U+0352,COMBINING FERMATA,Mn,6,False,False,False
𝐨,U+1D428,MATHEMATICAL BOLD SMALL O,Ll,6,False,False,False
🚼,U+1F6BC,BABY SYMBOL,So,6,False,False,False
𝙀,U+1D640,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL E,Lu,6,False,False,False
ַ,U+05B7,HEBREW POINT PATAH,Mn,6,False,False,False
រ,U+179A,KHMER LETTER RO,Lo,6,False,False,False
活,U+6D3B,CJK UNIFIED IDEOGRAPH-6D3B,Lo,6,False,False,False
🤯,U+1F92F,SHOCKED FACE WITH EXPLODING HEAD,So,6,False,False,False
규,U+ADDC,HANGUL SYLLABLE GYU,Lo,6,False,False,False
媽,U+5ABD,CJK UNIFIED IDEOGRAPH-5ABD,Lo,6,False,False,False
와,U+C640,HANGUL SYLLABLE WA,Lo,6,False,False,False
韓,U+97D3,CJK UNIFIED IDEOGRAPH-97D3,Lo,6,False,False,False
💁,U+1F481,INFORMATION DESK PERSON,So,6,False,False,False
月,U+6708,CJK UNIFIED IDEOGRAPH-6708,Lo,6,False,False,False
清,U+6E05,CJK UNIFIED IDEOGRAPH-6E05,Lo,6,False,False,False
ḍ,U+1E0D,LATIN SMALL LETTER D WITH DOT BELOW,Ll,6,False,False,False
🔲,U+1F532,BLACK SQUARE BUTTON,So,6,False,False,False
ṣ,U+1E63,LATIN SMALL LETTER S WITH DOT BELOW,Ll,6,False,False,False
行,U+884C,CJK UNIFIED IDEOGRAPH-884C,Lo,6,False,False,False
产,U+4EA7,CJK UNIFIED IDEOGRAPH-4EA7,Lo,6,False,False,False
🧒,U+1F9D2,CHILD,So,6,False,False,False
פ,U+05E4,HEBREW LETTER PE,Lo,6,False,False,False
🏈,U+1F3C8,AMERICAN FOOTBALL,So,6,False,False,False
ក,U+1780,KHMER LETTER KA,Lo,6,False,False,False
🙋,U+1F64B,HAPPY PERSON RAISING ONE HAND,So,6,False,False,False
🎵,U+1F3B5,MUSICAL NOTE,So,6,False,False,False
𝗙,U+1D5D9,MATHEMATICAL SANS-SERIF BOLD CAPITAL F,Lu,6,False,False,False
𝗞,U+1D5DE,MATHEMATICAL SANS-SERIF BOLD CAPITAL K,Lu,6,False,False,False
𝗗,U+1D5D7,MATHEMATICAL SANS-SERIF BOLD CAPITAL D,Lu,6,False,False,False
̅,U+0305,COMBINING OVERLINE,Mn,6,False,False,False
Ց,U+0551,ARMENIAN CAPITAL LETTER CO,Lu,6,False,False,False
ṁ,U+1E41,LATIN SMALL LETTER M WITH DOT ABOVE,Ll,6,False,False,False
,U+E04C,UNNAMED,Co,6,False,False,False
ϕ,U+03D5,GREEK PHI SYMBOL,Ll,6,False,False,False
？,U+FF1F,FULLWIDTH QUESTION MARK,Po,6,False,False,False
🤧,U+1F927,SNEEZING FACE,So,6,False,False,False
𝒊,U+1D48A,MATHEMATICAL BOLD ITALIC SMALL I,Ll,6,False,False,False
𝒏,U+1D48F,MATHEMATICAL BOLD ITALIC SMALL N,Ll,6,False,False,False
෕,U+0DD5,UNNAMED,Cn,6,True,False,False
柳,U+67F3,CJK UNIFIED IDEOGRAPH-67F3,Lo,6,False,False,False
ﻬ,U+FEEC,ARABIC LETTER HEH MEDIAL FORM,Lo,6,False,False,False
উ,U+0989,BENGALI LETTER U,Lo,6,False,False,False
👱,U+1F471,PERSON WITH BLOND HAIR,So,6,False,False,False
찬,U+CC2C,HANGUL SYLLABLE CAN,Lo,6,False,False,False
